email,status,name
vasya11@mail.ru,valid,Ivan
ivan.petrov@gmail.com,valid,Nadya
test2@yahoo.com,unknown,Petya
test3@outlook.com,invalid,Katya
test4@hotmail.com,invalid,John
test5@icloud.com,invalid,Peter
test6@aol.com,unknown,Liza
test7@live.com,invalid,Den
test8@msn.com,invalid,Nadya
test9@proton.me,invalid,Petya
test10@tutanota.com,unknown,Katya
test11@mailbox.org,invalid,John
test12@zoho.com,invalid,Peter
test13@startmail.com,unknown,Ivan
test14@mailfence.com,unknown,Nadya
test15@mail.ru,valid,Petya
test16@yandex.ru,invalid,John
test17@rambler.ru,unknown,Peter
test18@bk.ru,valid,Liza
test19@list.ru,valid,Den
test20@inbox.ru,valid,Nadya
test21@bluewin.ch,unknown,Petya
test22@gmx.net,unknown,Katya
test23@web.de,unknown,John
test24@orange.fr,invalid,Nadya
test25@libero.it,unknown,Petya
test26@comcast.net,unknown,Katya
test27@sbcglobal.net,unknown,John
definitelynotreal123456@gmail.com,invalid,Peter
nosuchperson12345678@mail.ru,valid,Ivan
xxxxxxxxxx999999999@yahoo.com,unknown,Gaus
